"Nr";"Kurzbezeichnung";"Einheit";"Matchcode"
2295;"Netzwerkabel (Cat7) verlegen:";"Stück";2295
2297;"Montage Serverschrank im Keller und die Installation der Zuleitung und Steckdose für ";"Stück";2297
2298;"Packtischlichtbänder auf Ladenbeleuchtung geschaltet. ";"Stück";"APL"
2299;"Devolo DLan 200 AVEasy Starter Kit ";"Stück";2299
230;"Kohlemikrofon, rauscharm VL12";"Stück";"KE5"
2300;"Umklemmen der 3-Phasen des Hoflichtes";"Stück";2300
2301;"Lancom POE Power Injector";"Stück";2301
2302;"Lieferung und Montage der Zueleitungen für die Rauchabzugsanlage";"Stück";2302
2303;"Schlussrechnung gemäß VOB Vertrag 13.2.08";"Stück";2303
2304;"Liefern und Verlegen von 125m Boxenleitung, 4qmm.";"Stück";2304
2309;"Lieferung und Montage einer Zuleitung für die Hebeanlage.";"Stück";2309
231;"Seko-Einbautaster Gr. 1, groß";"Stück";"KE6"
2310;"Hekatron-Rauchmelder ";"Stück";"SC27"
2313;"Netgaer ProSafe VPN Firewall 200";"Stück";2313
2314;"NYM 4x35 qmm liefern und Verlegen";"Meter";2314
232;"Seko-Einbautaster, Gr. 3";"Stück";"KE7"
2326;"TV Dose (Bus) für Kabelfernsehen";"Stück";2326
2327;"Steckdose UP 2-fach";"Stück";2327
2328;"Steckdose UP 3-fach";"Stück";2328
2329;"Steckdose UP 4-fach";"Stück";2329
233;"Hupe 8V";"Stück";"KH1"
2330;"Berker Modul 2 Raumthermostat";"Stück";2330
2331;"Steckdose UP 5-fach";"Stück";2331
2332;"Lieferung und Montage der Außenzuleitungen für Werbung";"Stück";2332
2333;"Rücknahme ca. 50m 4x10 qmm NYM Leitung";"Stück";2333
234;"Hupe 220V, klein";"Stück";"KH2"
2340;"HQL 125W DE LUXE E27";"Stück";2340
2341;"Aufsatzleuchte komplett";"Stück";2341
2342;"Kingston Value ECC RAM 1GB";"Stück";2342
235;"Summer einf., a. P. 5 - 12V";"Stück";"KK1"
2351;"Montage von bis zu 116 Rastereinbauleuchten";"Stück";2351
2353;"Lieferung und Montage einer Kamera-Attrappe";"Stück";2353
2354;"Lieferung und Montage eines 150W Strahlers";"Stück";2354
2355;"Lieferung  und Montage einer Wechselschaltung für das Anlieferungslagerlicht in u. P.-Ausführung,";"Stück";"Anlieferungslagerlicht"
