"Nr";"Kurzbezeichnung";"Einheit";"Matchcode"
1;"Niedervoltstrahler";"Stück";"Niedervoltstrahler"
2;"Sprechanlagen-Set mit Türstation und Sprechgerät.";"Stück";"Sprechanlagen-Set"
3;"Schließzylinder KMS2 + 2 Schlüssel";"Stück";"A15"
4;"Tagalarm m. 3 Schlüssel f. Notausgänge";"Stück";"A13"
5;"Schlüsselschalter m. Halbzylinder";"Stück";"A12"
6;"Kontroll-Lampe Bajonett 130V";"Stück";"A11"
7;"Infrarot-Bewegungsmelder AP, 360°";"Stück";"A0"
8;"NYM 3x1,5-l";"Meter";"N3"
9;"Siemens Unterbau-Kühlschrank KU15, inkl. Entsorgung des alten Kühlschranks. ";"Stück";"Siemens Unterb.-Kühlschrank"
10;"NYM 3x2,5qmm";"Meter";"N32"
11;"Elektronisches Vorschaltgerät bis 1x58W";"Stück";"LEV158"
12;"Wechselschalter a.P. FR";"Stück";"sfa2"
13;"Abzweigkasten a.P. FR 5/4x2,5";"Stück";"DA"
14;"Schalt- und Befestigungsmaterial";"Stück";"Sch"
15;"Diazed-Sicherung 35 - 63A";"Stück";"yd2"
16;"Sicherungselement kpl. bis 25A";"Stück";"yd12"
17;"NYAF 10qmm";"Meter";"nf10"
18;"NYM 4x10 qmm";"Meter";"N410"
19;"NSHöu (H07RN-F) 5x2,5 qmm";"Meter";"NS52"
20;"NH-Sicherung Gr. 00, 25 - 125A";"Stück";"YH1"
21;"CEE-Stecker 16A, 5-polig w. ";"Stück";"C1"
22;"CEE-Kupplung 16A, 3-polig";"Stück";"C10"
23;"CEE-Steckdose 16A, 5-polig";"Stück";"C11"
24;"CEE-Steckdose 32A, 5-polig";"Stück";"C12"
25;"CEE-Steckdose 63A, 5-polig";"Stück";"C13"
26;"CEE-Steckdose 125a, 5-polig";"Stück";"C14"
27;"CEE-Steckdose 16A, 3-polig";"Stück";"C15"
28;"Gummistecker Schuko FR";"Stück";"C16"
29;"Gummikupplung Schuko FR";"Stück";"C17"
30;"Schuko-Winkelstecker";"Stück";"C18"
31;"Schukostecker";"Stück";"C19"
32;"CEE-Stecker 32A, 5-polig";"Stück";"C2"
33;"Schukokupplung";"Stück";"C20"
34;"Perilex-Kupplung Wassergesch.";"Stück";"C21"
35;"Perilex-Steckdose u. P. FR 16A";"Stück";"C22"
36;"Perilex-Steckdose a. P. FR 16A";"Stück";"C23"
37;"CEE-Kupplung 32a, 5-polig";"Stück";"C7"
38;"NYA 4qmm";"Meter";"NA4"
39;"Trageschienen 3-längig, kpl";"Stück";"LI2"
40;"Trageschienenverbinder mit Kl. ";"Stück";"LI3"
41;"Hängekette leicht";"Meter";"BH6"
42;"Verteilung a. P.  FR 3-reihig, leer";"Stück";"V17"
43;"Leitungsschutzschalter 6 -16 A Charakteristik B Typ Hager";"Stück";"YE1"
44;"Leitungsschutzschalter 6 -16 A Charakteristik C";"Stück";"YE3"
45;"FI-Schutzschalter 25A/30mA, 2-polig";"Stück";"SC5"
46;"Sammelschiene 3-polig";"Stück";"YK5"
47;"L-Leuchte FR 1x58W m. Wanne";"Stück";"LX3"
48;"L-Lampe Lumilux 58W T8";"Stück";"LL58"
49;"L-Lampe Lumilux 36W T8";"Stück";"LL36"
50;"LS-Röhre 33/25, 0,75cm";"Stück";"LL33"
51;"L-Lampe Lumilux 18W T8";"Stück";"LL18"
52;"L-Lampe Lumilux 8W/F. 11 - 41";"Stück";"LL8"
53;"Lautsprecher Micro-Kombi.";"Stück";"Lautsprecher"
55;"L-Lampe Natura deluxe 30W/76";"Stück";"LN30"
56;"L-Lampe Natura deluxe 36W/76";"Stück";"LN36"
57;"Pauschalbetrag Weihnachtsbaum-Verkauf. ";"Stück";"Pauschbetr. Weihnachtsb. "
59;"Schukosteckdose u. P., 2-fach";"Stück";"SU11"
60;"Ausschalter u. P. mit Lampe ";"Stück";"SU8"
61;"Kombinationsrahmen 1-fach";"Stück";"SU15"
62;"Schalterglimmlampe, Berker";"Stück";"SA21"
63;"Kabelbrücken 10qmm (lang)";"Stück";"NKL10"
64;"Federdeckel klein/groß";"Stück";"D4"
65;"NYM 5x1,5qmm";"Meter";"N5"
66;"Einbauklingeltrafo 1A";"Stück";"KT1"
67;"Relais 8 - 220V, Wechsler";"Stück";"SC18"
68;"Schukosteckdose a. P. FR mit Deckel";"Stück";"SFA10"
69;"Schukosteckdose a. P. FR 2-fach";"Stück";"SFA11"
70;"Niedervoltlampe, 35W";"Stück";"Niedervoltlampe, 35W"
71;"Trafo, 230/12V";"Stück";"Trafo, 230/12V"
72;"Kabelbinder mittel 250mm";"Stück";"BK2"
73;"Hausnummernleuchte mit integriertem Dämmerungsschalter. ";"Stück";"Hausnr.-Leuchte m. Dämm-Sch."
74;"NYY 3x35/16 qmm";"Meter";"NY335"
75;"AEG-Leuchten";"Stück";"AEG-Leuchten"
76;"Lang-Leitertransport";"Stück";"x1"
77;"Lieferung und Montage von zwei 2-Kanal-Schaltuhren mit automatischer Winter-/Sommerzeit-Umstellung. ";"Stück";"2-Kanal-Schaltuhr"
78;"Einbauschütz 20A, 4-polig";"Stück";"S1"
79;"Lieferung und Montage eines HQITS-Strahlers mit Leuchtmittel 150W aus Alu-Druckguss und ";"Stück";"Beleuchtg. PP/Ein- u.Ausg."
80;"Alu-Kabelkanal 50x40 mm Meterware";"Meter";"Ram"
81;"Schaltkasten-Entsorgung. ";"Stück";"Schaltkasten-Entsorgung "
83;"AEG-Leuchten";"Stück";"Mont. 120 AEG-Leucht"
84;"Umbau der vorhandenen Verteilung, einschl. Einbau von 4 FI 40A, 3ph.";"Stück";"Umbau Verteilung"
85;"Steckklemmen 5-polig, b. 2,5 qmm";"Stück";"DS5"
86;"NYM 7x1,5 qmm";"Meter";"N7"
87;"Dämmerungsschalter a. P. FR";"Stück";"S12"
88;"Einbauschalter aus, 1-polig";"Stück";"YE4"
89;"NYA 2,5 qmm";"Meter";"NA2"
90;"Aderendhülsen 2,5 qmm";"Stück";"NAH2"
91;"Halbzylinder m. 3 Schlüssel";"Stück";"HZ 3 Schl."
94;"UAE Dose uP/aP ISDN";"Stück";"F3"
95;"CAT-6 Dose uP";"Stück";"F5"
96;"CAT-5-Dose aP";"Stück";"F6"
99;"I-Y /4 (St) 10x2x0,6";"Meter";"F10"
10;"Fahranteil innerh.";"x";10
100;"Stundenlohn Elektroinstallateur (Kategorie A)";"Stunden";100
1008;"Strahler (720W ca. 12.000h, Hersteller: Osram): ";"Stück";"Strahler, Treppe"
1009;"Leuchtstofflampen (720W, mittlere Lebensdauer ca. 20.000h): ";"Stück";"Leuchtstofflampen, Einbaur."
101;"Dimmer u. P. komplett. ";"Stück";"Dimmer u. P. kpl. "
1010;"Leuchtstofflampen (480W, mittlere Lebensdauer ca. 20.000h): ";"Stück";"Leuchtstofflampen "
1011;"Steckdosen-Leiste 5-fach mit Überspannungsschutz";"Stück";1011
1012;"IAE ISDN-Dose 2-fach  AP";"Stück";1012
1013;"USB auf PS2 Adapter für Maus und Tastatur";"Stück";1013
1014;"Siedle 3-fach-Elektronik-Gong NS 511-01";"Stück";"KS"
1015;"Abhol-/ Frachtkosten";"Stück";1015
1016;"Elcom-Signalgerät. ";"Stück";"Elcom-Signalgerät"
1017;"Lieferung und Montage eines zusätzlichen Lasttrenners 00 an die vorhandene Wandleranlage, einschl. ";"Stück";"zus. Lasttrenner 00"
1018;"Sprechgerät";"Stück";"Sprechgerät "
1019;"Grafikkarten-Lüfter";"Stück";"sd"
102;"Einbauspots";"Stück";"Einbauspots"
1020;"Neozed-Lasttrenner 63A";"Stück";"NLT63"
1021;"NEC DVD/CD-Brenner";"Stück";1021
1022;"Auswechseln des Klingeltableaus wie auf der Zeichnung angegeben in Edelstahl gebürstet, einschl. ";"Stück";"Ausw. Klingeltableau"
1026;"Patchkabel 15m geschirmt. ";"Stück";1026
1029;"Acer 17  AL1716s TFT Monitor""";"Stück";1029
103;"I-Y / 4 (St) 6x2x,06";"Meter";"F11"
1036;"BIOS Batterie Lithium 3,6 V";"Stück";1036
1037;"Druckerkabel parallel 5m";"Stück";1037
1038;"Patchkabel 1m geschirmt";"Stück";1038
1039;"Netgear 24 Port Switch 19 Gerät""";"Stück";1039
104;"Strahler, High-Tech-HQI-TS m. Zubehör";"Stück";"F12"
1041;"Netgear Printserver";"Stück";1041
1042;"Laserjet 3015 AIO - ";"Stück";1042
1046;"Kamera Attrappe schwenkbar mit LED";"Stück";1046
1049;"LAN/LAN Y-Kabel Splitter";"Stück";1049
105;"HQI-TS 70W, WDL Einsatz";"Stück";"F13"
1057;"Brandschutzmasse";"Stück";1057
106;"I-Y (ST) 2x2x0,6 ";"Meter";"x13"
1064;"Netgear 8 Port Switch";"Stück";1064
1068;"Elmeg VoIP Telefon (SNOM 190)";"Stück";1068
1069;"Fritz-Card ISDN PCMCIA";"Stück";1070
1076;"ProSafe FVL328 VPN Firewall Router";"Stück";1076
1077;"Netgear Switch, 24-Port";"Stück";1077
1078;"Netgear Switch, 16-Port";"Stück";1078
108;"Türalarmgerät ";"Stück";"A17"
1088;"FRITZ!Card USB ISDN";"Stück";1088
1089;"2GB Ram Kit für HP Proliant ML350 G4p ";"Stück";1089
109;"Alarmhupe 220V";"Stück";"A18"
1097;"USB Maus optisch";"Stück";1097
11;"Fahranteil innerh. Entfernung bis 5 KM";"x";11
110;"Alarmrelais";"Stück";"A2"
1104;"Maxtor externe USB 2.0 Festplatte 200 GB, 7200 RPM";"Stück";1104
1108;"Patchkabel 0,5m geschirmt";"Stück";1108
1109;"ISDN Y-Verteiler";"Stück";1109
111;"Riedkontakt m. Spezialmagnet";"Stück";"A3"
1110;"LAN/Tel Y-Kabel Splitter";"Stück";1110
1111;"GGK Brüstungskanalsystem 65x170mm cremweiß";"Meter";1111
1112;"Daten-Anschlussdose Kategorie 6, 1-fach, UP";"Stück";1112
1113;"Datenkabel Kategorie 7";"Meter";1113
1114;"Netzwerkschrank 21 HE Breite 600mm Tiefe 600mm";"Stück";1114
1115;"JUNG AS500 2fach Rahmen";"Stück";1115
1116;"JUNG AS500 3fach Rahmen";"Stück";1116
1117;"JUNG AS500 5fach Rahmen";"Stück";1117
1118;"Glasfasermaterial";"Stück";1118
1119;"Bildschirmarbeitsplatzleuchte Einbau";"Stück";1119
112;"Schlüsselschalter m. 2 Schlüssel";"Stück";"A4"
1120;"Montage Unterverteilung";"Stück";"Mont. Unterverteil."
1121;"Strom- und Netzwerkverkabelung 2.OG: ";"Stück";1121
1122;"Strom- und Netzwerkverkabelung 1.OG: ";"Stück";1122
1123;"19 Serverschrank 48 HE 800mm x 900mm, mit Glastür""";"Stück";1123
1124;"Drehstromanschlüsse";"Stück";"Drehstrom-Anschl."
1125;"NKL-Leuchten";"Stück";"NKL-Leuchten"
1126;"Datenleitungen für Kasse und Telefon.";"Stück";"Telefonleitung"
1127;"Dämmerungsschalter ";"Stück";"Dämmerungssch. "
1128;"Deckenspiegelrasterleuchten";"Stück";"Deckenspiegelraster."
1129;"Wechselanschlüsse";"Stück";"Wechselanschlüsse"
113;"Alarmhupe 220V groß";"Stück";"A5"
1130;"Cat 7 Verlegekabel duplex";"Meter";1130
1131;"Kupferzuschlag Cat 7 Netzwerkkabel";"Meter";1131
1132;"Einbauleucht mit Spiegelraster 4x18 Watt blendfrei";"Stück";1132
1133;"Baustromverteiler";"Stück";"Baustromverteiler"
1134;"Lasttrenner";"Stück";"Lasttrenner"
1136;"Baustromversorgung";"Stück";"Baustromversorgung"
114;"Alarm-Rundlicht 220V rot";"Stück";"A6"
1140;"Trennerverteilung";"Stück";"Trennerverteilung"
1141;"Gewerbe-Zähleranlage";"Stück";"Gewerbe-Zähler"
1142;"Zuleitungen ";"Stück";"Ladenzuleitungen"
1143;"Verteilung Getränke Hoffmann";"Stück";"Vert. Getränke Hoff."
1144;"Unterverteilung im Lager bestückt mit: ";"Stück";"Untervert. Lager"
1145;"Unterverteilung für Hausanlagen";"Stück";"Unterv. Hausanlagen"
115;"Ersatzschlüssel f. Schlüsselschalter";"Stück";"A7"
1150;"Patchkabel Kategorie 7 Meterware";"Meter";1150
1152;"Überprüfen Netzwerklink";"Stück";1152
1154;"Material für die Behebung des Mangels an der";"Stück";1154
1158;"Installation von 2 zusätzlichen Bewegungsmeldern";"Stück";1158
116;"Schlüsselschalter m. Kontrollampe";"Stück";"A9"
1160;"Brett inklusive 2-fach FR-Steckdose +";"Stück";1160
1161;"Rasteranbauleuchte mit EVG 1x 58W inklusive";"Stück";1161
1162;"Lieferung und  Montage von 3m Gitterkabelbahn an der Decke, zur Aufnahme ";"Stück";"Gitterkabelbahn"
1163;"Neue 230V-Klingelanlage bestehend aus: ";"Stück";"Klingelanlage"
1164;"CAT-5-Leitung";"Stück";"CAT-5-Leit."
1166;"Alarmanlagenschalter";"Stück";"Alarmanlagensch."
1169;"Verlegen von 300 Patchkabeln";"Stück";1169
117;"Selbstschneide-Schrauben";"Stück";"B1"
1170;"Crimpen von ca. 600 Hirose Steckern.";"Stück";1170
1171;"Leuchtstofflampe";"Stück";"Leuchtstofflampe"
1173;"Auerswald Compact 2104 USB";"Stück";1173
1176;"USB Kabel 3m";"Stück";1176
1177;"FR-Leuchten";"Stück";"FR-Leucht. m Wanne"
1179;"DE-21-Leuchte";"Stück";"DE-21-Leuchte"
118;"Polypschellen M20";"Stück";"B20"
1180;"Daten-Anschlussdose Kategorie 6, 2-fach";"Stück";1180
1181;"NTBA Anschlusskabel";"Stück";1181
1184;"5-fach Steckdosenleiste für USV Anschluss";"Stück";1184
1185;"Schuko-Steckdosen-Verteiler 5-fach";"Stück";"SAT5"
1186;"Verlängerungskabel 5m";"Stück";1186
1187;"Umsetzen des Verteilerschranks um ca. 8m. ";"Stück";"Verteilerschrank "
1188;"Ringleitung";"Stück";"Ringl. Außenbel. "
1189;"Potentialausgleich zwischen beiden Hausanschlüssen herstellen. ";"Stück";"Poti-Ausgl."
119;"Trafo 105 VA";"Stück";"Trafo 105 VA"
1190;"RJ45 Verbinder";"Stück";1190
1191;"Unterverteilung Hausanlage";"Stück";"Unterver.Hausanl."
1192;"Hauptkabel";"Stück";"Hauptkabel"
1193;"Umstellung Zeitschaltuhren";"Stück";"Umstell. Zeitschalt."
1194;"Lieferung und Montage einer Hauptzuleitung zur Pos. 7, NYY 4x50/25";"Stück";"Hauptzuleitung"
1195;"Siteco-Lichtband";"Stück";"Lichtband"
1196;"30 % -Aufschlag, Samstagsarbeit";"Stunden";"30 % -Arbeiten "
1197;"Terko-Steckdose FR";"Stück";"Terko-Steckd."
120;"Caddy-Drehkl. M6x38 m. Flügelm.";"Stück";"B2"
1208;"Rangierkanal 100x150mm";"Meter";"RK8"
1209;"Rangierkanal Enddeckel ";"Stück";"RK110"
121;"Caddy-Muttern";"Stück";"B3"
1210;"Lieferung und Anschluß einer ";"Stück";"Baustromverteilung"
1211;"Erdung und Potentialausgleich";"Stück";"Erdung u. Potential."
1212;"Stromversorgung ab HA";"Stück";"Stromversorgung HA"
1213;"Die Installation im Laden, Lager, Kühlung und ";"Stück";"Insta. Laden/Lager"
1214;"Montage der Außenbeleuchtung";"Stück";"Mont. Außenbel. "
1215;"Die Installation der Tagalarme.";"Stück";"Insta. Tagalarme"
1216;"Die Installation der Nebenräume. ";"Stück";"Instal. Nebenräume"
1217;"Montage aller Leuchten";"Stück";"Mont. Leuchten etc."
1218;"Montage Parkplatzmastleuchten";"Stück";"Mont. Parkplatzmast."
1219;"Montage Hausnummernleuchte";"Stück";"Mont. Hausnummerl. "
122;"Polypschellen M40";"Stück";"B40"
1220;"Leitungen f. RWA, Fenster- u. Steuertaster";"Stück";"Leitgen. f. RWA etc"
1221;"Notbeleuchtung";"Stück";"Notbeleuchtung"
1222;"Siteco Endkappen 5LJ140 1- 2 XD";"Stück";"Endkappen Siteco"
1223;"Siemens-Gigaset-Repeater";"Stück";"Repeater"
1224;"Knotenketten";"Stück";"Knotenketten"
1225;"Adapterkabel RJ 45 auf TAE";"Stück";"Adapterkabel"
1226;"Telefonleitungen";"Stück";"Telefonleitungen"
1227;"Hofbeleuchtung";"Stück";"Hofbeleuchtung"
1228;"Zuleitungen für die Automatiktüren.";"Stück";"Zuleitgen.Automatikt"
1229;"Liefern und Verlegen von 2 Pressenstromkreisen ";"Stück";"2 Pressenstromkreise"
123;"Caddy-Haken";"Stück";"B4"
1230;"Baustromverteiler";"Stück";"Baustromverteiler, EVU"
1231;"Unterverteilung Pfandraum:";"Stück";"UV-Pfandraum"
1232;"100 A-Zähleranlage";"Stück";"100A-Zähleranl."
1235;"Doppelzählerschrank ";"Stück";"Doppelzählerschrank "
1236;"Die Demontage und die Lagerung auf Paletten zum Abtransport der vorhandenen Beleuchtung. ";"Stück";"Dem. + Lagerung Paletten"
1237;"Lieferung und Montage von einer 3ph-Stromschiene in weiß, einschl. aller Anschlußarbeiten, ";"Meter";"Stromschiene"
1239;"Zuleitung Lasttrenner";"Stück";"Zuleitung Lasttr."
124;"Schienenhänger m. Gewinde M6";"Stück";"B5"
1240;"Lasttrenner-Verteilung";"Stück";"Lasttr.-Verteilung"
1241;"Baustromverteiler mit Steckdosen";"Stück";"Baustromver. Steckd."
1242;"Umschaltung Parkplatzleuchten";"Stück";"Umschalt. Parkplatzl"
1243;"F30-Leitungen f. 6 Motore";"Stück";"F30-Leitungen"
1244;"Wandlüfter";"Stück";"Wandlüfter"
1245;"Lieferung und Montage einer Hausanschluß-Haupterverteiler-Kombination ";"Stück";"Hausanschl.-Haupterverteiler-Kombi."
125;"Ankerhaken";"Stück";"BA1"
1254;"30m 5x10qmm NSHÖU";"Stück";"NSHÖU-Kabel"
1255;"AEG-Drehraster-Spiegelleuchten, Maxos.";"Stück";"AEG-Drehrasterleucht"
1256;"Hausnummernleuchte Würfel ";"Stück";"Hausnr.-Leuchte-Würf"
1257;"100er-Lüfter";"Stück";"Lüfter, 100er"
1258;"CAT6 Connection Box";"Stück";1258
1259;"Verteilungsschloß abschließbar";"Stück";"Verteilungsschloß"
126;"Bügelschelle 38 - 58 KSV m. Gegw.";"Stück";"BB2"
1260;"Montage der Kamera-Attrappen, Pauschalpreis ";"Stück";"Kamera-Attrappen"
1261;"300W-Strahler ";"Stück";"Strahler m. BW"
1262;"Verlängerungskabel 10m";"Stück";1262
1263;"Miet-Arbeitsbühne";"Stück";"Arbeitsbühnen-Miete"
1264;"RZB-Leuchte superflach";"Stück";"RZB-superflach"
1265;"Anschluß Werbeanlage";"Stück";"Anschl. Werbeanl. "
1266;"Überlänge von 43m ";"Meter";"Überlänge "
1267;"Lieferung und Montage einer Isoverteilung mit 5";"Stück";"Isoverteilung "
1268;"Umsetzen einer Parkplatzlaterne um bis zu 10m, ";"Stück";"Umsetz. Parkplatzl. "
1269;"Telefon-Anschlusskabel F-Stecker auf RJ11";"Stück";1269
127;"Coroplast-Isobandrolle 19x25";"Stück";"BC1"
1270;"Neuanschluß der vorhandenen Ableitungen. ";"Stück";"Neuanschluß-Ableitungen"
1271;"Verlängern der alten Ladenzuleitung und Demontage der Zähleranlage im Aktenraum, einschl. 2 Stck. ";"Stück";"Verlängern Landenzuleitung "
1272;"Verlängern der Bäckerzuleitung und Trenner in die Pos. 2";"Stück";"Verlängern d. Backzuleitg. "
1273;"Lieferung und Montage von Zuleitungen ";"Stück";"Zuleitungen "
1274;"Sirenenblitzleuchte. ";"Stück";"Sirenenblitzleuchte"
1275;"Umverlegen von einem Anschluss zu den Stromschienen. ";"Stück";"Umverlegen v. Anschlüssen"
1276;"Unterverteilung (Tedi)";"Stück";"Unterverteilung (Tedi)"
1277;"Unterverteilung Backshop";"Stück";"Unterverteilung Backshop"
1278;"Drehstromkreise";"Stück";"Drehstromkreise"
1279;"Steckdosen uP ";"Stück";"Steckdosen uP "
128;"Halterungsbügel verzinkt";"Stück";"BC2"
1280;"Türalarmgerät ";"Stück";"Türalarmgerät "
1281;"Werbungszuleitungen ";"Stück";"Werbungszuleitungen "
1282;"Kunststoffleuchten";"Stück";"Kunststoffleuchten "
1283;"L-Leuchten, 58W";"Stück";"L-Leuchten, 58W"
1284;"Deckeneinbauleuchten";"Stück";"Deckeneinbauleuchten "
1285;"Mastleuchten, LP 6m ";"Stück";"Mastleuchten "
1286;"Erdkabel ";"Stück";"Erdkabel "
1287;"Aufbaustrahler 20W";"Stück";"Aufbausrahler 20W"
1288;"Umbau der Wandleranlage von Steck- auf Schraubwandler. ";"Stück";"Umbau Wandleranlage "
1289;"Hauptverteilerschrank";"Stück";1289
129;"Dymo-Beschriftungsrolle";"Stück";"BD1"
1290;"Allgemeine Zuleitungen";"Stück";1290
1291;"Nebenräume";"Stück";1291
1292;"Laden- und Lagerbeleuchtung";"Stück";1292
1293;"Kassenbeleuchtung";"Stück";1293
1294;"AHT- Truhen";"Stück";1294
1295;"Werbelogo";"Stück";1295
1296;"Wandlerzähleranlage";"Stück";1296
1297;"Zähleranlage- Zuleitung";"Stück";1297
1298;"Heizung und Entrauchung";"Stück";1298
1299;"Vordachbeleuchtung";"Stück";1299
1300;"Mastleuchten einfach";"Stück";1300
1301;"Mastleuchten mit Doppelausleger";"Stück";1301
1302;"Beleuchtung Anlieferung";"Stück";1302
1303;"Beleuchtung Nebenräume";"Stück";1303
1304;"Beleuchtung Technikräume / Dachraum";"Stück";1304
1305;"Außenanlagen- Zuleitung";"Stück";1305
1306;"Potentialausgleich und Kassenerdung";"Stück";1306
1307;"Obst- und Gemüsebeleuchtung";"Stück";1307
1308;"Hausnummerbeleuchtung";"Stück";1308
1309;"Papp-Presse";"Stück";1309
1310;"Infrarotdecken- Bewegungsmelder";"Stück";1310
1311;"Kassenbereich- Zuleitung";"Stück";1311
1312;"Frostwächter";"Stück";1312
1313;"Schnell-Lauftor- Zuleitung";"Stück";1313
1314;"Rücklaufsicherung- Zuleitung";"Stück";1314
1315;"Pfandautomat- Zuleitung";"Stück";1315
1316;"ISDN-Anlage";"Stück";1316
1317;"Alarmanlagen-Zuleitungen";"Stück";1317
1318;"Klingelanlageninstallation";"Stück";1318
1319;"Pfandraum";"Stück";1319
132;"Gipskarton-Dübel spez.";"Stück";"BDGK"
1320;"Hauptverteilerschränke der Firma MDK";"Stück";1320
1321;"Notausgangs-Hinweisbeleuchtung:";"Stück";1321
1322;"Kellerbeleuchtung";"Stück";1322
1323;"Hebeanlage- Zuleitung";"Stück";1323
1324;"Schranken- Zuleitung";"Stück";1324
1325;"Tiefgaragen- Zuleitung";"Stück";1325
1326;"Lieferung und Montage eines Strahlers inkl. Leuchtmittel für";"Stück";"Strahler "
1327;"Das Schneiden von 20 Deckentragschienen. ";"Stück";"Deckentrageschienen"
1328;"Lieferung und Montage von 30m 5x10qmm NSHÖU";"Stück";1328
1329;"Mastleuchte Myra ink. Leuchtmittel 70W";"Stück";"NAV"
133;"Gipskarton-Hohlwanddübel GKS";"Stück";"BDH6"
1330;"Patchkabel 30m geschirmt";"Stück";1330
1331;"Pfandlösung im Lager";"Stück";1331
1332;"Backshop-Installation";"Stück";1332
1333;"Umverlegen der Zuleitung für das Werbelogo";"Stück";1333
1334;"Verlängerung der Zuleitung für den Non-Food";"Stück";1334
1335;"AEG Verbinder";"Stück";"L33"
1336;"AEG Abhänger";"Stück";"L36"
1337;"Zählgruppe 1 Ladenbeleuchtung";"Stück";1
1338;"Steckdosenleiste 6fach";"Stück";1338
1339;"Sirenenstroboblitz";"Stück";"asb"
134;"Hängekette mittel";"Meter";"BH7"
1340;"Antennenmastkappe";"Stück";"amk"
1341;"Zählgruppe 2 Mopro ";"Stück";2
1342;"Hauptk. zw. BVG-Hausanschl. u. Zähler-Wandleranl.";"Stück";"Hauptkabel BVG"
1343;"Halogenfreies Hauptkabel";"Stück";"halogenfr. Kabel"
1344;"Lasttrenner-Verteilung";"Stück";"Lastrenner-Verteil."
1345;"Kabelübergangskästen";"Stück";"Kabelübergangsk."
1346;"Brandschutzöffnungen";"Stück";"Brandschutzöffn. "
1347;"Anschluß Feststellanlage";"Stück";"Feststellanlage"
1348;"Umverlegen von Stromkreisleitungen";"Stück";"Stromkreisleitungen"
1349;"Ballschutzgitter ";"Stück";"LBS58"
135;"Hängekette schwer";"Stück";"BH8"
1350;"Wandbewegungsmelder";"Stück";"Wandbewegungsm. "
1351;"Zeitrelais";"Stück";"Zeitrelais"
1352;"Jalousietaster mechanisch verriegelt. ";"Stück";"Jalousietaster"
1353;"Telefonrelais für Innenräume, 36 - 230V";"Stück";"T16"
1354;"4-Kanal-Funkzeitschaltuhr";"Stück";"4-Kanal-Funkuhr"
1355;"Lichtmast ";"Stück";"Lichtmast"
1356;"Strahler mit Dämmerungsschalter und Leuchtmittel.";"Stück";"Strahl. m. BWM "
1357;"Lieferung und Montage eines Kabels für die Mopro ";"Stück";"Moprokabel "
1358;"Elektroinstallation Lidl-Markt Ollenhauerstr. 7:";"Stück";1358
1359;"Erweitern von 3 Decken-/Wanddurchbrüchen. ";"Stück";"Decken/Wanddurchbr. "
136;"Sammelhalterungen ";"Stück";"BH9"
1360;"Verschließen mit Brandschutzschaum. ";"Stück";"Brandschutzschaum "
1361;"Holzbrett ";"Stück";"Holzbrett "
1362;"NAV-E Super 4 Y, 100W. ";"Stück";"NAV-E Super 4Y, 100W"
1363;"Osram-Halostar, 75W, (Reserveleuchtmittel)";"Stück";"Osram Halostar"
1364;"Demontage der AHT-Steckdosen von den Überbau-";"Stück";"Demont. AHT"
1365;"Ladenneueinrichtung. ";"Stück";"Ladenneueinricht. "
1366;"FI-Schutzschalter ";"Stück";"FI-Schutzschalter "
1367;"Kompletteinbau von Danbach-Heizungen für  ";"Stück";"Heiz. Plakatvitrinen"
1368;"Wechselstrom-Impulszähler N-System";"Stück";"Impulszähler"
1369;"ESY-Luxstrahler";"Stück";"LS218"
137;"Isodruckschellen 6 - 16";"Stück";"BI1"
1370;"Einbau von zwei zusätzlichen Sicherungsautomaten";"Stück";1370
1371;"Ampelanlage";"Stück";1371
1372;"Montage von EVG-Leuchten, 1x58W für die ";"Stück";"EVG-Leuchten "
1373;"Umbau des vorhandenen Zählers,";"Stück";"Umbau Zähler "
1374;"Heizungszuleitungen";"Stück";"Alternativposition"
1375;"Lieferung und Montage einer Verteilung im ";"Stück";"Verteil. Personalr."
1376;"Lieferung und Montage von Wechselstromkreisen für: ";"Stück";"Wechselstromkreis"
1377;"Installation der Sozial- u. Abstellräume. ";"Stück";"Install. Sozialräume"
1378;"Lieferung und Verlegen von 6 Leerrohren in Beton- ";"Stück";"Leerrohr "
1379;"Im Falle einer vorhandenen Mopro-Erweiterung. ";"Stück";3
138;"Isodruckschellen 16 - 24";"Stück";"BI2"
1380;"Lieferung von 3 Siedl-Läutewerken NS511-01 und ";"Stück";"Siedle-Läutewerke"
1381;"Lieferung und Anschluß von ";"Stück";"Rasterleuchten "
1382;"Wanne für Beleuchtung";"Stück";"Wanne f. Beleuchtung"
1383;"Fußbodenkanal";"Meter";"Fußbodenkanal"
1384;"Einbau einer 5-poligen ETA-Klemme";"Stück";"5-polige ETA-Klemme"
1385;"Zählgruppe 3,  Fleischregal.";"Stück";4
1386;"Montage der Pos. 1 am 8m Mast in ca. ";"Stück";"Mont. Strahler"
1387;"Porto- und Versandkosten der defekten ";"Stück";"Porto- u. Versandk. "
1388;"Gitterabdeckung ";"Meter";"Gitterabdeck. "
1389;"Klingeltableau";"Stück";"Klingeltableau"
139;"Isodruckschellen 24 - 34";"Stück";"BI3"
1390;"Zählgruppe 4 Tikotruhen. ";"Stück";6
1391;"Zählgruppe 6 Klimaanlage. ";"Stück";9
1392;"Trennen und Abschalten der Stromkreise von ";"Stück";"Trennen- u.Abschalt."
1393;"Zählgruppe 7 Kühlzelle. ";"Stück";11
